"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"1",253,266,228,1785,295,49,55,784,168,521,168,111,65,1572,328,159,169,263,228
"2",259,267,247,1447,235,11,68,672,52,338,94,123,71,911,344,172,172,263,249
"3",263,272,250,1435,244,11,68,679,53,337,87,122,70,883,349,177,172,267,252
"4",263,272,250,1435,244,11,68,679,53,337,87,122,70,883,349,177,172,267,252
"5",263,272,250,1435,244,11,68,679,53,337,87,122,70,883,349,177,172,267,252
"6",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"7",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"8",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"9",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"10",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"11",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"12",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"13",241,262,208,1241,203,45,46,524,156,524,191,103,62,2211,316,152,164,262,224
"14",198,216,172,581,101,11,68,293,48,293,48,121,69,1756,275,102,173,216,174
"15",244,263,212,1027,175,16,60,477,79,326,122,128,65,2082,334,138,196,261,230
"16",242,263,209,1228,204,40,49,535,152,535,175,105,63,2210,319,153,166,263,211
"17",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"18",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"19",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"20",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"21",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"22",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"23",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"24",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"25",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"26",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"27",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"28",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"29",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"30",245,266,211,1061,193,45,49,468,148,468,163,110,64,2227,325,154,171,266,213
"31",241,264,208,1451,232,30,51,616,128,616,195,123,65,2304,325,137,188,264,208
"32",241,264,208,1451,232,30,51,616,128,616,195,123,65,2304,325,137,188,264,208
"33",241,264,208,1451,232,30,51,616,128,616,195,123,65,2304,325,137,188,264,208
"34",241,264,208,1451,232,30,51,616,128,616,195,123,65,2304,325,137,188,264,208
"35",241,264,208,1451,232,30,51,616,128,616,195,123,65,2304,325,137,188,264,208
"36",241,264,208,1451,232,30,51,616,128,616,195,123,65,2304,325,137,188,264,208
"37",245,268,211,1405,229,29,52,604,122,604,185,120,64,2331,327,142,185,268,211
"38",245,268,211,1405,229,29,52,604,122,604,185,120,64,2331,327,142,185,268,211
"39",241,264,208,1451,232,30,51,616,128,616,195,123,65,2304,325,137,188,264,208
"40",238,267,201,1395,185,51,34,501,194,398,194,116,60,2664,328,135,193,257,201
"41",238,267,201,1395,185,51,34,501,194,398,194,116,60,2664,328,135,193,257,201
"42",257,281,224,1137,194,27,56,501,103,483,137,109,63,2309,337,166,171,280,225
"43",253,273,221,1087,183,27,57,470,89,463,116,107,66,2145,330,168,162,272,224
"44",253,273,221,1087,183,27,57,470,89,463,116,107,66,2145,330,168,162,272,224
"45",257,278,225,1207,213,27,58,538,100,520,100,107,64,2216,334,167,167,278,225
"46",254,285,214,1048,150,29,45,400,101,398,140,119,60,2812,347,149,198,284,215
"47",253,285,213,1001,143,27,46,383,94,381,129,120,60,2834,347,148,199,284,215
"48",229,272,183,1402,162,47,33,449,180,444,180,113,54,3515,336,127,209,250,183
"49",229,272,183,1402,162,47,33,449,180,444,180,113,54,3515,336,127,209,250,183
"50",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"51",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"52",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"53",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"54",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"55",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"56",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"57",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"58",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"59",233,277,186,1387,160,46,34,456,175,448,175,119,54,3574,344,126,218,253,186
"60",233,277,186,1387,160,46,34,456,175,448,175,119,54,3574,344,126,218,253,186
"61",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"62",233,277,186,1387,160,46,34,456,175,448,175,119,54,3574,344,126,218,253,186
"63",233,277,186,1387,160,46,34,456,175,448,175,119,54,3574,344,126,218,253,186
"64",233,277,186,1387,160,46,34,456,175,448,175,119,54,3574,344,126,218,253,186
"65",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"66",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"67",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"68",233,277,186,1387,160,46,34,456,175,448,175,119,54,3574,344,126,218,253,186
"69",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"70",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"71",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"72",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"73",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"74",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"75",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"76",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"77",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"78",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"79",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"80",226,270,180,1416,162,47,34,468,179,452,179,117,54,3524,335,121,214,247,180
"81",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"82",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"83",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"84",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"85",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"86",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"87",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"88",225,269,178,1394,157,51,31,451,196,431,196,113,53,3582,332,122,210,263,178
"89",226,270,180,1416,162,47,34,468,179,452,179,117,54,3524,335,121,214,247,180
"90",226,270,180,1416,162,47,34,468,179,452,179,117,54,3524,335,121,214,247,180
"91",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
"92",226,268,181,1389,160,51,34,453,174,453,174,108,53,3437,327,125,202,263,181
"93",219,263,174,1509,171,75,23,445,255,411,255,110,53,3512,321,115,206,243,174
"94",221,271,169,1350,172,45,35,455,173,404,173,106,48,3973,333,116,217,247,169
"95",221,271,169,1350,172,45,35,455,173,404,173,106,48,3973,333,116,217,247,169
"96",221,271,169,1350,172,45,35,455,173,404,173,106,48,3973,333,116,217,247,169
"97",223,270,175,1380,153,54,28,424,199,403,199,114,52,3716,334,116,218,262,175
"98",239,280,195,1145,149,24,39,389,122,376,129,129,58,3337,351,130,221,273,207
"99",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"100",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"101",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"102",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"103",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"104",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"105",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"106",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"107",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"108",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"109",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"110",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"111",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"112",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"113",225,261,185,1433,174,58,30,480,205,435,260,112,56,3006,320,120,200,246,186
"114",231,274,184,1411,163,46,34,460,179,451,179,117,54,3529,341,126,215,251,184
